seed,task,sample_id,gid,tok_per_round,n_rounds,i_always,acc_always,tok_always,i_consensus,acc_consensus,tok_consensus,i_oracle,acc_oracle,tok_oracle,i_fixed_k1,acc_fixed_k1,tok_fixed_k1,i_fixed_k2,acc_fixed_k2,tok_fixed_k2,i_fixed_k3,acc_fixed_k3,tok_fixed_k3,i_fixed_k4,acc_fixed_k4,tok_fixed_k4,i_fixed_k5,acc_fixed_k5,tok_fixed_k5,i_unc<q10,acc_unc<q10,tok_unc<q10,i_unc<q20,acc_unc<q20,tok_unc<q20,i_unc<q30,acc_unc<q30,tok_unc<q30,i_unc<q40,acc_unc<q40,tok_unc<q40,i_unc<q50,acc_unc<q50,tok_unc<q50
1,gsm8k,443,gsm8k_443,914.6666666666666,6,5,False,5488.0,4,False,4573.333333333333,5,False,5488.0,0,False,914.6666666666666,1,False,1829.3333333333333,2,False,2744.0,3,False,3658.6666666666665,4,False,4573.333333333333,5,False,5488.0,5,False,5488.0,5,False,5488.0,5,False,5488.0,5,False,5488.0
1,gsm8k,448,gsm8k_448,797.5,6,5,True,4785.0,0,True,797.5,0,True,797.5,0,True,797.5,1,True,1595.0,2,True,2392.5,3,True,3190.0,4,True,3987.5,0,True,797.5,0,True,797.5,0,True,797.5,0,True,797.5,0,True,797.5
1,gsm8k,470,gsm8k_470,523.0,6,5,False,3138.0,5,False,3138.0,1,True,1046.0,0,False,523.0,1,True,1046.0,2,False,1569.0,3,False,2092.0,4,False,2615.0,5,False,3138.0,5,False,3138.0,5,False,3138.0,5,False,3138.0,5,False,3138.0
1,gsm8k,511,gsm8k_511,593.0,6,5,True,3558.0,0,True,593.0,0,True,593.0,0,True,593.0,1,True,1186.0,2,True,1779.0,3,True,2372.0,4,True,2965.0,0,True,593.0,0,True,593.0,0,True,593.0,0,True,593.0,0,True,593.0
1,gsm8k,548,gsm8k_548,532.8333333333334,6,5,True,3197.0,0,True,532.8333333333334,0,True,532.8333333333334,0,True,532.8333333333334,1,True,1065.6666666666667,2,True,1598.5,3,True,2131.3333333333335,4,True,2664.166666666667,0,True,532.8333333333334,0,True,532.8333333333334,0,True,532.8333333333334,0,True,532.8333333333334,0,True,532.8333333333334
1,gsm8k,575,gsm8k_575,483.8333333333333,6,5,True,2903.0,5,True,2903.0,0,True,483.8333333333333,0,True,483.8333333333333,1,True,967.6666666666666,2,True,1451.5,3,True,1935.3333333333333,4,True,2419.1666666666665,5,True,2903.0,5,True,2903.0,5,True,2903.0,5,True,2903.0,5,True,2903.0
1,gsm8k,581,gsm8k_581,477.0,6,5,True,2862.0,0,True,477.0,0,True,477.0,0,True,477.0,1,True,954.0,2,True,1431.0,3,True,1908.0,4,True,2385.0,0,True,477.0,0,True,477.0,0,True,477.0,0,True,477.0,0,True,477.0
1,gsm8k,594,gsm8k_594,577.6666666666666,6,5,True,3466.0,1,True,1155.3333333333333,0,True,577.6666666666666,0,True,577.6666666666666,1,True,1155.3333333333333,2,True,1733.0,3,True,2310.6666666666665,4,True,2888.333333333333,5,True,3466.0,1,True,1155.3333333333333,1,True,1155.3333333333333,1,True,1155.3333333333333,0,True,577.6666666666666
1,gsm8k,606,gsm8k_606,944.3333333333334,6,5,False,5666.0,5,False,5666.0,5,False,5666.0,0,False,944.3333333333334,1,False,1888.6666666666667,2,False,2833.0,3,False,3777.3333333333335,4,False,4721.666666666667,5,False,5666.0,5,False,5666.0,5,False,5666.0,5,False,5666.0,5,False,5666.0
1,gsm8k,611,gsm8k_611,1035.6666666666667,6,5,False,6214.0,5,False,6214.0,5,False,6214.0,0,False,1035.6666666666667,1,False,2071.3333333333335,2,False,3107.0,3,False,4142.666666666667,4,False,5178.333333333334,5,False,6214.0,5,False,6214.0,5,False,6214.0,5,False,6214.0,5,False,6214.0
1,gsm8k,627,gsm8k_627,659.6666666666666,6,5,False,3958.0,5,False,3958.0,0,True,659.6666666666666,0,True,659.6666666666666,1,True,1319.3333333333333,2,False,1979.0,3,False,2638.6666666666665,4,True,3298.333333333333,5,False,3958.0,5,False,3958.0,5,False,3958.0,5,False,3958.0,1,True,1319.3333333333333
1,gsm8k,650,gsm8k_650,762.6666666666666,6,5,False,4576.0,5,False,4576.0,2,True,2288.0,0,False,762.6666666666666,1,False,1525.3333333333333,2,True,2288.0,3,False,3050.6666666666665,4,False,3813.333333333333,5,False,4576.0,5,False,4576.0,5,False,4576.0,5,False,4576.0,5,False,4576.0
1,gsm8k,678,gsm8k_678,626.1666666666666,6,5,True,3757.0,0,True,626.1666666666666,0,True,626.1666666666666,0,True,626.1666666666666,1,True,1252.3333333333333,2,True,1878.5,3,True,2504.6666666666665,4,True,3130.833333333333,0,True,626.1666666666666,0,True,626.1666666666666,0,True,626.1666666666666,0,True,626.1666666666666,0,True,626.1666666666666
